Molybdenum - LE (10^-5 m/m) - Equation Range: 20 to 500 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
134,-73.88899243291405,-71.0471081085712,-68.20522378422834
135,-73.523885142305,-70.6960434060625,-67.86820166982
136,-73.15667654495948,-70.3429582163072,-67.52923988765491
137,-72.78738621127344,-69.9878713569937,-67.18835650271394
138,-72.41603362382604,-69.63080156137119,-66.84556949891633
139,-72.04263817737967,-69.27176747824969,-66.5008967791197
140,-71.66721917888,-68.910787672,-66.15435616511999
141,-71.28979584745584,-68.54788062255369,-65.80596539765155
142,-70.91038731441931,-68.18306472540318,-65.45574213638706
143,-70.52901262326576,-67.81635829160169,-65.10370395993762
144,-70.1456907296737,-67.44777954776318,-64.74986836585265
145,-69.76044050150499,-67.07734663606249,-64.39425277061999
146,-69.37328071880462,-66.70507761423521,-64.0368745096658
147,-68.9842300738008,-66.33099045557769,-63.67775083735458
148,-68.59330717090506,-65.95510304894718,-63.31689892698929
149,-68.20053052671216,-65.57743319876168,-62.954335870811214
150,-67.80591857,-65.197998625,-62.59007868
151,-67.40948964172978,-64.8168169632017,-62.224144284673635
152,-67.01126199504587,-64.43390576446718,-61.8565495338885
153,-66.611253795276,-64.04928249545769,-61.48731119563938
154,-66.209483119931,-63.66296453839519,-61.11644595685938
155,-65.805967958705,-63.27496919106249,-60.74397042341999
156,-65.40072621347532,-62.88531366680319,-60.36990112013106
157,-64.99377569830256,-62.494015094521686,-59.994254490740815
158,-64.58513413943052,-62.101090518683186,-59.61704689793586
159,-64.17481917528623,-61.70655689931368,-59.23829462334113
160,-63.762848356479985,-61.31043111199998,-58.85801386751998
161,-63.349239145805285,-60.912729947889694,-58.476220749974104
162,-62.934008918238824,-60.51347011369118,-58.09293130914353
163,-62.51717496094062,-60.11266823167367,-57.708161502406725
164,-62.09875447325387,-59.71034083966718,-57.321927206080495
165,-61.678764566705,-59.3065043910625,-56.934244215419994
166,-61.25722226500364,-58.90117525481119,-56.545128244618745
167,-60.834144504042705,-58.49436971542568,-56.15459492680865
168,-60.40954813189837,-58.086103972979195,-55.76265981406002
169,-59.98344990882991,-57.67639414310568,-55.36933837738145
170,-59.55586650727999,-57.26525625699998,-54.97464600671998
171,-59.12681451187439,-56.85270626141769,-54.57859801096098
172,-58.6963104194222,-56.43876001867519,-54.18120961792818
173,-58.26437063891567,-56.023433306649686,-53.7824959743837
174,-57.831011491530354,-55.606741818779184,-53.382472146028014
175,-57.39624921062499,-55.188701164062486,-52.981153117499986
176,-56.96009994174155,-54.76932686705918,-52.57855379237681
177,-56.522579742605295,-54.3486343678897,-52.17468899317411
178,-56.0837045831246,-53.92663902223519,-51.769573461345786
179,-55.643490345391214,-53.5033561013377,-51.36322185728419
180,-55.20195282367999,-53.07880079199999,-50.95564876031999
181,-54.75910772444912,-52.652988196585696,-50.54686866872227
182,-54.31497066633995,-52.225933333019185,-50.13689599969842
183,-53.86955718017712,-51.79765113478569,-49.72574508939426
184,-53.42288270896843,-51.36815645093118,-49.31343019289393
185,-52.974962607904985,-50.93746404606248,-48.899965484219976
186,-52.52581214436108,-50.505588600347195,-48.48536505633331
187,-52.075446497894234,-50.072544709513686,-48.06964292113314
188,-51.62388076024522,-49.638346884851174,-47.65281300945713
189,-51.17112993533807,-49.20300955320968,-47.23488917108129
190,-50.717208939279985,-48.76654705699998,-46.81588517471998
191,-50.26213260036143,-48.32897365419368,-46.39581470802593
192,-49.80591565905612,-47.890303518323186,-45.974691377590254
193,-49.34857276802096,-47.45055073848169,-45.55252870894242
194,-48.89011849209611,-47.00972931932318,-45.12934014655025
195,-48.43056730830497,-46.567853181062475,-44.70513905381998
196,-47.969933605854195,-46.12493615947518,-44.27993871309617
197,-47.508231686133605,-45.68099200589769,-43.85375232566178
198,-47.04547576271628,-45.23603438722719,-43.426593011738106
199,-46.58167996135856,-44.79007688592169,-42.998473810484825
200,-46.116858319999984,-44.34313299999998,-42.569407679999976
201,-45.65102478876335,-43.89521614304168,-42.13940749732001
202,-45.184193229954666,-43.44633964418718,-41.70848605841969
203,-44.71637741806319,-42.99651674813768,-41.27665607821217
204,-44.24759103976138,-42.545760615155174,-40.84393019054897
205,-43.777847693904974,-42.094084321062475,-40.410320948219976
206,-43.30716089153291,-41.64150085724318,-39.97584082295345
207,-42.835544055867345,-41.188023130641675,-39.540502205416004
208,-42.36301052231372,-40.73366396376319,-39.10431740521266
209,-41.88957353846064,-40.27843609467369,-38.667298650886735
210,-41.41524626407998,-39.822352176999985,-38.22945808991999
211,-40.94004177112687,-39.36542477992968,-37.790807788732494
212,-40.463973043739635,-38.90766638821118,-37.35135973268273
213,-39.98705297823983,-38.44908940215368,-36.91112582606753
214,-39.50929438313227,-37.98970613762718,-36.47011789212209
215,-39.030709979104984,-37.52952882606248,-36.02834767301998
216,-38.55131239902924,-37.06856961445119,-35.58582682987314
217,-38.07111418795951,-36.60684056534568,-35.14256694273185
218,-37.590127803133555,-36.14435365685919,-34.69857951058482
219,-37.1083656139723,-35.68112078266567,-34.25387595135904
220,-36.625839902079974,-35.21715375199997,-33.80846760191997
221,-36.142562861243974,-34.75246428965767,-33.36236571807136
222,-35.65854659743497,-34.287064035995165,-32.91558147455536
223,-35.17380312880687,-33.82096454692968,-32.468125965052494
224,-34.688344385696745,-33.35417729393917,-32.0200102021816
225,-34.20218221062498,-32.88671366406248,-31.571245117499984
226,-33.715328358295146,-32.41858495989918,-31.12184156150321
227,-33.22779449559406,-31.949802399609673,-30.671810303625286
228,-32.739592201591805,-31.480377116915193,-30.221162032238585
229,-32.2507329675416,-31.01032016109769,-29.769907354653782
230,-31.761228196879987,-30.539642496999985,-29.318056797119983
231,-31.27108920522671,-30.06835500502568,-28.86562080482465
232,-30.780327220384734,-29.596468481139166,-28.412609741893597
233,-30.288953382340296,-29.123993636865666,-27.959033891391037
234,-29.79697874326283,-28.65094109929118,-27.504903455319532
235,-29.304414267504963,-28.177321411062465,-27.050228554619967
236,-28.81127083160267,-27.70314503038718,-26.59501922917169
237,-28.31755922427502,-27.22842233103367,-26.13928543779232
238,-27.823290146424426,-26.753163602331178,-25.68303705823793
239,-27.328474211136466,-26.277379049169678,-25.22628388720289
240,-26.83312194367999,-25.80107879199999,-24.76903564031999
241,-26.33724378150702,-25.324272866833674,-24.311301952160328
242,-25.8408500742529,-24.84697122524317,-23.85309237623344
243,-25.34395108373615,-24.369183734361684,-23.394416384987217
244,-24.846556983958507,-23.890920176883178,-22.93528336980785
245,-24.348677861105,-23.412190251062498,-22.475702641019996
246,-23.850323713543787,-22.93300357071518,-22.01568342788657
247,-23.3515044518264,-22.453369665217693,-21.555234878608985
248,-22.852229898687472,-21.973297979507183,-21.094366060326895
249,-22.35250978904494,-21.492797874081674,-20.633085959118407
250,-21.852353769999976,-21.011878624999976,-20.171403479999977
251,-21.35177140083694,-20.530549423881673,-19.709327446926405
252,-20.850772153023467,-20.04881937790718,-19.24686660279089
253,-20.349365410210385,-19.56669750981768,-18.784029609424973
254,-19.84756046823177,-19.08419275791516,-18.320825047598554
255,-19.34536653510495,-18.601313976062453,-17.857261417019956
256,-18.842792731030492,-18.118069933683167,-17.39334713633584
257,-18.33984808839213,-17.634469315761663,-16.929090543131196
258,-17.836541551756884,-17.150520722843158,-16.464499893929432
259,-17.332881977875,-16.666232671033654,-15.999583364192308
260,-16.82887813567997,-16.181613591999973,-15.534349048319974
261,-16.324538706288468,-15.696671832969681,-15.068804959650894
262,-15.819872283000436,-15.211415656731187,-14.602959030461939
263,-15.314887371299008,-14.725853241633661,-14.136819111968315
264,-14.809592388850652,-14.239992681587164,-13.670392974323677
265,-14.30399566550497,-13.753841986062472,-13.203688306619974
266,-13.798105443294814,-13.267409080091166,-12.736712716887519
267,-13.291929876436303,-12.780701804265675,-12.269473732095047
268,-12.785477031328742,-12.293727914739176,-11.801978798149609
